commodity,value_bd
"Beans Shelled, Not Frozen",996192.091
"Beans, Fresh Or Chilled",379185.846
"Beans, Frozen",86824.69099999999
Bearing Housings Without Ball Or Roller Bearings,1309952.662
"Bearing Housings, With Ball Or Roller Bearings",255468.332
Bed Covers And Table Covers Of Chenile,60629.162000000004
"Bed Linen Of Man-Made Fibers, Printed",30875.017
"Bed Linen Of Other Textiles, Printed",16363.965
"Bed Linen, Knitted Or Crocheted",128732.92599999999
"Bed Nets, Of Warp Knit Fabrics Specified In Subheading Note 1 To This Chapter, (Subheading 6304.20 Covers Articles Made From Fabrics, Impregnated Or Coated With Alpha-Cypermethrin (Iso), Chlorfenapyr (Iso), Deltamethrin (Inn, Iso), Lambda-Cyhalothrin (Iso), Permethrin (Iso) Or Pirimiphos-Methyl (Iso).”.",321.942
Beer Made From Malt,13530034.072
Bees,9007.189999999999
"Beet-Pulp, Bagasse And Other Waste From Sugar",2781.214
"Bellies (Streaky) And Cuts Thereof, Salted, Brine, Dried Or Smoked",5079.887000000001
"Bells, Gongs And The Like",6923.395
"Belt Type Continuous-Action Elevators And Conveyors,Other",135113.75400000002
Belts And Bandoliers Of Leather,862037.037
Belts Of Vulcanized Rubber,7218.7029999999995
Belts With Precious Stones,1936.6009999999999
Bending Or Assembling Machines For Hard Materials,83357.25
Bentonite,1845896.084
Benzaldehyde,86.411
Benzoic Acid,7730.6669999999995
Benzoic Acid  Salts And Esters,2256.594
Benzoin,544.5939999999999
Benzole,2056.08
Benzoyl Peroxide And Benzoyl Chloride,93760.201
Benzyl Alcohol,129924.516
Beverage Cooling Machines,16805.919
"Beverages Of Tea And Coffee, Containing Added Sugar Or Other Sweetening Matter, Whether Or Not Flavored.",749071.672
Bicycles,348079.127
Bicycles For Children,246734.374
Big Shelves To Be Installed In Buildings,753367.553
Billiards,36951.532
Billiards Accessories,33432.635
Binder Or Baler Twine Of Jute Or Of Other Textile Bast Fibres Of Heading 53.03,136.734
"Binders, Etc., With Metal Fittings",79145.51699999999
Binoculars,4525.287
"Biodiesel And Mixtures Thereof, Not Containing Or Containing Oils Obtained From Bituminous Containing Less Than 70% By Weight Of Petroleum Oils Or Obtained From Bituminous Minerals",4764.7300000000005
Biotal Ether Triangular Almithel,23197.319000000003
Bird Cages And Similar Articles Of Plastics,699.207
Birds Of Prey,105350.59300000001
"Bitumen And Asphalt, Natural",2519.68
"Bituminous Coal, Not Agglomcratcd",1780.507
Bituminous Mixtures Based On Natural Asphalt,76542.368
Black Caraway (Nigella Sativa),11431.421
Black Printing Ink,185208.272
"Black, White Or Red Currants And Gooseberries , Fresh",99691.489
"Black/White, Monochrome Cathode-Ray Tv Tubes",56.98
Blades For Other Knives,53383.341
"Blankets, Cotton",174873.229
"Blankets, Wool",125787.242
"Blankets,(Other Than Electric Blankets) And Travelling Rugs,Of Synthetic Fibres",1148566.237
"Bleached 3- Or 4-Thread, Cotton Mixed, Under 171 G/M2",16347.243
"Bleached Cotton Fabrics, Other Fabrics, Over 200 G/M2 (85 Percent Cotton)",77.86
"Bleached Cotton Woven Fabrics, 3 Or 4 Thread Twill (85 Percent Cotton)",66.42
"Bleached Cotton Woven Fabrics, Other Fabrics (85 Percent Cotton)",4207.199
"Bleached Cotton Woven Fabrics, Plain, 100-200 G/M2 (85 Percent Cotton)",4072.522
"Bleached Cotton Woven Fabrics, Plain, Under 100 G/M2 (85 Percent Cotton)",145852.934
"Bleached Manmade Woven, Other Fabrics, Under 201 G/M2 (Less Then 85 Prcent Cotton)",3215.9950000000003
"Bleached Other Cotton Wovens, Under 201 G/M2",189.66899999999998
"Bleached Other Polyester, Cotton Mixed, Under 171 G/M2",7157.84
"Bleached Other Woven, Cotton Mixed, Under 171 G/M2",20760.75
"Bleached Other Wovens, Cotton Mixed, Over 170 G/M2",7134.879999999999
"Bleached Polyester, Plain, Cotton Mixed, Over 170 G/M2",9549.967
"Bleached Polyester, Plain, Cotton Mixed, Under 171 G/M2",35569.24
