flow,year,country_name,value_bd
Import,2023,Lebanon,1522476.99
Import,2023,Lesotho,5111.967
Import,2023,Liberia,1236.6119999999999
Import,2023,Libya,16200.832
Import,2023,Liechtenstein,131859.624
Import,2023,Lithuania,4182875.986
Import,2023,Luxembourg,596161.134
Import,2023,Macau,20874.986
Import,2023,Macedonia,125781.734
Import,2023,Madagascar,149059.765
Import,2023,Malaysia,27722277.009
Import,2023,Maldive Islands,13324.354
Import,2023,Mali,5982426.884
Import,2023,Malta,1643490.0790000001
Import,2023,Mauritania,4753.7660000000005
Import,2023,Mauritius,116315.907
Import,2023,Mayotte,52.526
Import,2023,Mexico,27799956.457
Import,2023,Micronesia,450.122
Import,2023,Monaco,26831.163
Import,2023,Mongolia,7674.689
Import,2023,Montenegro,4581.5779999999995
Import,2023,Morocco,4779847.87
Import,2023,Mozambique,593152.066
Import,2023,Myanmar,2153545.349
Import,2023,Namibia,30296.842
Import,2023,Nauru,12814.51
Import,2023,Nepal,80811.065
Import,2023,Netherlands,46512516.008
Import,2023,Netherlands Antilles,5960.905
Import,2023,Neutral Zone,12.429
Import,2023,New Caledonia,1063.8590000000002
Import,2023,New Zealand,17855802.723
Import,2023,Nicaragua,30505.52
Import,2023,Niger,10872.036
Import,2023,Nigeria,3948471.322
Import,2023,Northern Mariana Islands,64.62
Import,2023,Norway,5114817.901
Import,2023,Pakistan,29445528.372
Import,2023,Palestine,211223.483
Import,2023,Panama,113075.447
Import,2023,Papua New Guinea,2585.1440000000002
Import,2023,Paraguay,374429.37
Import,2023,Peru,973952.922
Import,2023,Philippines,10201075.328
Import,2023,Pitcairn,10.492
Import,2023,Poland,56878515.603
Import,2023,Portugal,7487003.4120000005
Import,2023,Puerto Rico,1125066.808
Import,2023,Qatar,3731913.798
Import,2023,Repablic Of Congo,833831.6309999999
Import,2023,Republic Of Korea,60080647.268
Import,2023,Republic Of Kosovo,20475.687
Import,2023,Republic Of Moldova,223912.721
Import,2023,Returned Bahrain Goods,4546355.491
Import,2023,Reunion,1418.789
Import,2023,Romania,6832444.231
Import,2023,Russian Federation,3218229.363
Import,2023,Rwanda,15816.015
Import,2023,S.Georgia & S.Sandwich Islands,559.432
Import,2023,Saint Helena,22618.075
Import,2023,Saint Kitts And Nevis,4257.867
Import,2023,Saint Lucia,89.64
Import,2023,Saint Pierre & Miquelon,42.901
Import,2023,Saint Vincent,1253.832
Import,2023,San Marino,157317.279
Import,2023,Sao Tome And Principe,1033.838
Import,2023,Saudi Arabia,366996477.605
Import,2023,Senegal,13705.805
Import,2023,Serbia,2465878.225
Import,2023,Seychelles,70444.004
Import,2023,Sierra Leone,57781.991
Import,2023,Singapore,16301707.519
Import,2023,Slovakia,9592682.074
Import,2023,Slovenia,2882576.23
Import,2023,Solomon Islands,1750.405
Import,2023,Somalia,3231720.311
Import,2023,Somoa,12793.853000000001
Import,2023,South Africa,16017476.129
Import,2023,Spain,77174751.573
Import,2023,Sri Lanka,4159232.006
Import,2023,Sudan,435818.167
Import,2023,Sultanate Oman,51694384.147
Import,2023,Supply Of Ships And Aircrafts,9638.038
Import,2023,Suriname,11738.057999999999
Import,2023,Svalbard And Jan Mayen,104.528
Import,2023,Sweden,24265373.461999997
Import,2023,Switzerland,134953556.941
Import,2023,Syria,3384693.6989999996
Import,2023,Tahiti,142852.708
Import,2023,Taiwan,27902064.131
Import,2023,Tajikistan,5744.145
Import,2023,Tanzania,1215982.935
Import,2023,Thailand,76745200.078
Import,2023,Timor Eastern,3906.733
Import,2023,Togo,4655.158
Import,2023,Tokelau,30717.739
Import,2023,Trinidad&Tobago,19956.105
Import,2023,Tunisia,1942941.615
Import,2023,Turkey,80507953.5849
Import,2023,Turkmenistan,2771.9519999999998
Import,2023,Uganda,339145.767
Import,2023,Ukraine,1822416.977
Import,2023,United Arab Emirates,546699973.301
Import,2023,United Kingdom,142406033.53800002
Import,2023,United States Minor Outlying Islands,4041.911
Import,2023,United States Of America,364735621.89699996
Import,2023,Uruguay,4039620.115
Import,2023,Uzbekistan,138623.201
Import,2023,Venezuela,24103.221
Import,2023,Vietnam,46690830.524000004
Import,2023,Virgin Is (Usa),10702.653
Import,2023,Wallis And Futuna,909.116
Import,2023,Yemen,2486880.723
Import,2023,Zambia,874566.011
Import,2023,Zimbabwe,45163.457
Import,2024,Afghanistan,580846.759
Import,2024,Albania,187892.123
Import,2024,Algeria,394440.042
Import,2024,Angola,690.44
Import,2024,Anguilla,3945.9700000000003
Import,2024,Antigua,6037.601
Import,2024,Argentina,6904818.873
Import,2024,Armenia,27986.702
Import,2024,Aruba,1294.72
Import,2024,Australia,564274499.936
Import,2024,Austria,21011186.772
Import,2024,Azerbaijan,470492.749
Import,2024,Bahamas,2134.835
Import,2024,Bahrain,5232.275
Import,2024,Bangladesh,12249841.406
Import,2024,Barbados,21859.89
Import,2024,Belarus,613972.695
Import,2024,Belgium,21450355.827
Import,2024,Belize,65857.352
Import,2024,Benin (Dahomey),15742.84
Import,2024,Bhutan,1104.36
Import,2024,Bolivia,49564.988
Import,2024,Bosnia & Herzegovina,353919.322
Import,2024,Botswana,10130.88
Import,2024,Bouvet Island,53.21
Import,2024,Brazil,500062465.438
Import,2024,British Indian Ocean Territory,9457.12
Import,2024,Brunei,26955.447000000004
Import,2024,Bulgaria,3243753.785
Import,2024,Burkina Faso,41118.685000000005
Import,2024,Burundi,2573.597
Import,2024,Cambodia,4341628.228
Import,2024,Cameroon,150146.866
Import,2024,Canada,69480054.742
Import,2024,Cape Verde,2456.81
Import,2024,Central African Republic,41055.215
Import,2024,Chile,106180251.362
Import,2024,China,837429756.631
Import,2024,Cocos Islands,801.075
Import,2024,Colombia,1118814.088
Import,2024,Comoro Islands,12220.862000000001
Import,2024,Cook Island,353.15
Import,2024,Costa Rica,792428.143
Import,2024,Countries And Territories Not Specified For Commercial Or Military Reasons,21168994.159
Import,2024,Croatia,791290.762
Import,2024,Cuba,73062.212
Import,2024,Cyprus,2287787.577
Import,2024,Czech Republic,18150986.052
Import,2024,Democratic Republic Of Congo,32397181.964
Import,2024,Denmark,17398562.99
Import,2024,Dominica,1769.678
Import,2024,Dominican Republic,423026.38
Import,2024,Duty Free & Warehouse,359897.909
Import,2024,Ecuador,2317674.443
Import,2024,Egypt,42115808.133
Import,2024,El Salvador,133755.101
Import,2024,Equat Guinea,11980.632000000001
Import,2024,Eritrea,3011.676
Import,2024,Estonia,2874363.337
Import,2024,Ethiopia,581708.084
Import,2024,Falkland Island,7967.472
Import,2024,Faroe Islands,277.541
Import,2024,Fiji,168685.783
Import,2024,Finland,3418218.928
Import,2024,Fr Polynesia,1466.3
Import,2024,France,130887897.251
Import,2024,Free Zone Jabal Ali,13550070.166
Import,2024,Free Zone Oman,194994.763
Import,2024,Gabon,242581.431
Import,2024,Gambia,3872.6809999999996
Import,2024,Georgia,148681.231
Import,2024,Germany,184226097.971
Import,2024,Ghana,36426.004
Import,2024,Greece,5066121.8549999995
Import,2024,Guadeloupe,12068.801
Import,2024,Guam,382.153
Import,2024,Guatemala,1849827.556
Import,2024,Guinea,451.201
Import,2024,Guyana,579.365
Import,2024,Haiti,1915.886
Import,2024,Holy See,2037.89
Import,2024,Honduras,166679.56
Import,2024,Hong Kong,1838846.8
Import,2024,Hungary,9964771.591
Import,2024,Iceland,44303.205
Import,2024,India,310160951.275
Import,2024,Indonesia,50186160.824
Import,2024,Iran,8670439.722000001
Import,2024,Iraq,159586.463
Import,2024,Ireland,34482391.312
Import,2024,Israel,677433.224
Import,2024,Italy,171270545.619
Import,2024,Ivory Coast,2044864.724
Import,2024,Jamaica,14327.681
Import,2024,Japan,244467003.858
Import,2024,Jordan,30147728.012000002
Import,2024,Kazakhstan,35810.509
Import,2024,Kenya,9778594.067
Import,2024,Kuwait,52873955.971
Import,2024,Kyrgyzstan,18509.798
Import,2024,Lao People' S Dem Republic,114891.15
Import,2024,Latvia,412627.084
Import,2024,Lebanon,1297743.915
Import,2024,Lesotho,2639.437
Import,2024,Liberia,2089.13
Import,2024,Libya,454.11
Import,2024,Liechtenstein,76407.167
Import,2024,Lithuania,2754547.363
Import,2024,Luxembourg,495662.801
Import,2024,Macau,25849.661
Import,2024,Macedonia,72733.041
Import,2024,Madagascar,206151.763
Import,2024,Malaysia,28431384.877
Import,2024,Maldive Islands,7822.112
Import,2024,Mali,2443936.413
Import,2024,Malta,970411.6140000001
Import,2024,Martinique,30.976000000000003
Import,2024,Mauritania,3123.014
Import,2024,Mauritius,148615.177
Import,2024,Mexico,26707595.889
Import,2024,Monaco,22473.16
Import,2024,Mongolia,4648.772
Import,2024,Montenegro,22695.889
Import,2024,Morocco,4382713.869
Import,2024,Mozambique,23033.944000000003
Import,2024,Myanmar,2421760.585
Import,2024,Namibia,61323.848
Import,2024,Nauru,190756.19
Import,2024,Nepal,161714.46500000003
Import,2024,Netherlands,44620904.998
Import,2024,Netherlands Antilles,2330.734
Import,2024,Neutral Zone,262.57
Import,2024,New Caledonia,13689.725999999999
Import,2024,New Zealand,17962518.008
Import,2024,Nicaragua,42065.591
Import,2024,Niger,9873.434000000001
Import,2024,Nigeria,5570279.089
Import,2024,Northern Mariana Islands,49163.404
Import,2024,Norway,3910999.878
Import,2024,Pakistan,30182113.963
Import,2024,Palestine,219598.55599999998
Import,2024,Panama,126846.264
Import,2024,Papua New Guinea,16267.135
Import,2024,Paraguay,225444.774
Import,2024,Peru,803991.024
Import,2024,Philippines,9249432.21
Import,2024,Pitcairn,2.28
Import,2024,Poland,46087369.269
Import,2024,Portugal,6361190.823
Import,2024,Puerto Rico,825361.8539999999
Import,2024,Qatar,21345444.738
Import,2024,Repablic Of Congo,25875.728
Import,2024,Republic Of Korea,71781008.324
Import,2024,Republic Of Kosovo,36866.201
Import,2024,Republic Of Moldova,173117.402
Import,2024,Returned Bahrain Goods,5428698.44
Import,2024,Reunion,9742.384
Import,2024,Romania,6963536.842
Import,2024,Russian Federation,3330307.866
Import,2024,Rwanda,19334.081
Import,2024,Saint Helena,815.29
Import,2024,Saint Kitts And Nevis,10455.661
Import,2024,Saint Pierre & Miquelon,21.069
Import,2024,San Marino,11114.833
Import,2024,Sao Tome And Principe,18903.675
Import,2024,Saudi Arabia,376309011.732
Import,2024,Senegal,4440.143
Import,2024,Serbia,1717927.253
Import,2024,Serbia And Montenegro,1037.156
Import,2024,Seychelles,41677.074
Import,2024,Sierra Leone,85333.169
Import,2024,Singapore,37922538.311
Import,2024,Slovakia,12064298.818
Import,2024,Slovenia,4372075.996
Import,2024,Solomon Islands,1701.1599999999999
Import,2024,Somalia,6049815.498
Import,2024,Somoa,87.69999999999999
Import,2024,South Africa,18458156.802
Import,2024,Spain,68029672.573
Import,2024,Sri Lanka,4740457.455
Import,2024,Sudan,518057.704
Import,2024,Sultanate Oman,51788509.565
Import,2024,Supply Of Ships And Aircrafts,32409.006999999998
Import,2024,Suriname,11330.731
Import,2024,Swaziland,232.076
Import,2024,Sweden,14659826.766
Import,2024,Switzerland,116276720.66600001
Import,2024,Syria,4189913.4190000007
Import,2024,Tahiti,97330.059
Import,2024,Taiwan,22380147.63
Import,2024,Tajikistan,6123.677
Import,2024,Tanzania,1337088.64
Import,2024,Thailand,82923453.707
Import,2024,Timor Eastern,40956.198000000004
Import,2024,Togo,163709.54
Import,2024,Tokelau,30944.882999999998
Import,2024,Tonga,6779.16
Import,2024,Trinidad&Tobago,25327.921
Import,2024,Tunisia,2039662.879
Import,2024,Turkey,67880700.093
Import,2024,Turkmenistan,542.281
Import,2024,Turks & Caicos,653.74
Import,2024,Uganda,126791.845
Import,2024,Ukraine,2734436.667
Import,2024,United Arab Emirates,444932054.506
Import,2024,United Kingdom,199092245.60999998
Import,2024,United States Minor Outlying Islands,45.63
Import,2024,United States Of America,358534474.17
Import,2024,Uruguay,802527.474
Import,2024,Uzbekistan,576515.504
Import,2024,Venezuela,57500.011
Import,2024,Vietnam,60924405.59568
Import,2024,Virgin Is (Usa),48928.826
Import,2024,Wallis And Futuna,4683.280000000001
Import,2024,Western Samoa,1738.68
Import,2024,Yemen,3183528.813
Import,2024,Zambia,647949.438
Import,2024,Zimbabwe,38492.313
